Date,Sensor Glucose (mmol/L),
09/03/2022 05:32,5.9,
09/03/2022 05:37,5.9,
09/03/2022 05:42,6.1,
09/03/2022 05:47,6.2,
09/03/2022 05:52,6.4,
09/03/2022 05:57,6.4,
09/03/2022 06:02,6.3,
09/03/2022 06:07,6.2,
09/03/2022 06:12,6.1,
09/03/2022 06:17,6.1,
09/03/2022 06:22,6.1,
09/03/2022 06:27,5.9,
09/03/2022 06:32,5.8,
09/03/2022 06:37,5.9,
09/03/2022 06:42,6.1,
09/03/2022 06:47,6.4,
09/03/2022 06:52,6.6,
09/03/2022 06:57,6.5,
09/03/2022 07:02,6.5,
09/03/2022 07:07,6.3,
09/03/2022 07:12,6.3,
09/03/2022 07:17,6.2,
09/03/2022 07:22,5.7,
09/03/2022 07:27,5.1,
09/03/2022 07:32,4.6,
09/03/2022 07:37,4.3,
09/03/2022 07:42,4.2,
09/03/2022 07:47,4.2,
09/03/2022 07:52,4.2,
09/03/2022 07:57,4.4,
09/03/2022 08:02,5.1,
09/03/2022 08:07,6.2,
09/03/2022 08:12,6.4,
09/03/2022 08:17,6.4,
09/03/2022 08:22,5.4,
09/03/2022 08:27,4.7,
09/03/2022 08:32,4,
09/03/2022 08:37,3.6,
09/03/2022 08:42,3.6,
09/03/2022 08:47,4.2,
09/03/2022 08:57,4.8,
09/03/2022 09:02,5.8,
09/03/2022 09:07,6.3,
09/03/2022 09:12,6.4,
09/03/2022 09:17,6.7,
09/03/2022 09:22,6.4,
09/03/2022 09:27,6.2,
09/03/2022 09:32,6,
09/03/2022 09:37,5.8,
09/03/2022 09:42,5.7,
09/03/2022 09:47,5.4,
09/03/2022 09:52,5.2,
09/03/2022 09:57,5.1,
09/03/2022 10:02,5.4,
09/03/2022 10:07,5.9,
09/03/2022 10:12,6.4,
09/03/2022 10:17,7,
09/03/2022 10:22,7.4,
09/03/2022 10:27,7.8,
09/03/2022 10:32,7.9,
09/03/2022 10:37,7.8,
09/03/2022 10:42,7.4,
09/03/2022 10:47,7.2,
09/03/2022 10:52,7.1,
09/03/2022 10:57,7.1,
09/03/2022 11:02,7.2,
09/03/2022 11:07,7.5,
09/03/2022 11:12,7.8,
09/03/2022 11:17,8.1,
09/03/2022 11:22,8.3,
09/03/2022 11:27,8.4,
09/03/2022 11:32,8.5,
09/03/2022 11:37,8.4,
09/03/2022 11:42,8.5,
09/03/2022 11:47,8.9,
09/03/2022 11:52,9.4,
09/03/2022 11:57,9.7,
09/03/2022 12:02,10,
09/03/2022 12:07,10.3,
09/03/2022 12:12,9.9,
09/03/2022 12:17,9.6,
09/03/2022 12:22,9.1,
09/03/2022 12:27,8.2,
09/03/2022 12:32,7.8,
09/03/2022 12:37,7.5,
09/03/2022 12:42,7.4,
09/03/2022 12:47,7.3,
09/03/2022 12:52,7,
09/03/2022 12:57,6.2,
09/03/2022 13:02,5.7,
09/03/2022 13:07,5.3,
09/03/2022 13:12,4.9,
09/03/2022 13:17,4.6,
09/03/2022 13:22,4.9,
09/03/2022 13:27,5.4,
09/03/2022 13:32,6.4,
09/03/2022 13:37,6.8,
